RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
3390,"LSB10133","5/16/2018","The Supreme Court Bets Against Commandeering: Murphy v. NCAA, Sports Gambling, and Federalism","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10133/LSB10133.pdf/","3","05/16/2018"
3391,"IF10717","5/16/2018","U.S. Environmental Protection Agency (EPA) FY2018 Appropriations: Congressional Action","https://crsreports.congress.gov/product/pdf/download/IF/IF10717/IF10717.pdf/","7","08/28/2017"
3392,"IF10689","5/15/2018","Farm Bill Primer: Sugar Program","https://crsreports.congress.gov/product/pdf/download/IF/IF10689/IF10689.pdf/","4","07/07/2017"
3393,"LSB10132","5/14/2018","Judicial Review of Rescissions and Deferrals Under the Impoundment Control Act","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10132/LSB10132.pdf/","2","05/14/2018"
3394,"R44895","5/11/2018","Energy and Water Development: FY2018 Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R44895/R44895.pdf/","12","07/19/2017"
3395,"98-807","5/11/2018","False Statements and Perjury: A Sketch of Federal Criminal Law","https://crsreports.congress.gov/product/pdf/download/RS/98-807/98-807.pdf/","10","09/30/1998"
3396,"98-808","5/11/2018","False Statements and Perjury: An Overview of Federal Criminal Law","https://crsreports.congress.gov/product/pdf/download/RL/98-808/98-808.pdf/","11","09/24/1998"
3397,"R42866","5/11/2018","Permanent Legal Immigration to the United States: Policy Overview","https://crsreports.congress.gov/product/pdf/download/R/R42866/R42866.pdf/","13","12/19/2012"
3398,"R45039","5/10/2018","Defining Broadband: Minimum Threshold Speeds and Broadband Policy","https://crsreports.congress.gov/product/pdf/download/R/R45039/R45039.pdf/","6","12/08/2017"
3399,"IF10753","5/10/2018","ENERGY STAR Program ","https://crsreports.congress.gov/product/pdf/download/IF/IF10753/IF10753.pdf/","3","10/12/2017"
3400,"R45193","5/10/2018","Federal Crop Insurance: Program Overview for the 115th Congress","https://crsreports.congress.gov/product/pdf/download/R/R45193/R45193.pdf/","4","05/10/2018"
3401,"IF10882","5/9/2018","Department of Homeland Security Resources for School Security and Safety","https://crsreports.congress.gov/product/pdf/download/IF/IF10882/IF10882.pdf/","3","05/09/2018"
3402,"R45192","5/9/2018","Oil and Gas Activities Within the National Wildlife Refuge System","https://crsreports.congress.gov/product/pdf/download/R/R45192/R45192.pdf/","3","05/09/2018"
3403,"IF10883","5/9/2018","Overview of U.S. Environmental Protection Agency (EPA) Water Infrastructure Programs and FY2018 Appropriations","https://crsreports.congress.gov/product/pdf/download/IF/IF10883/IF10883.pdf/","3","05/09/2018"
3404,"IF10887","5/9/2018","The FY2019 Defense Budget Request: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10887/IF10887.pdf/","2","05/09/2018"
3405,"R44942","5/9/2018","U.S. Decision to Cease Implementing the Iran Nuclear Agreement","https://crsreports.congress.gov/product/pdf/download/R/R44942/R44942.pdf/","21","09/07/2017"
3406,"R44893","5/8/2018","FY2018 Appropriations for Department of Justice Grant Programs","https://crsreports.congress.gov/product/pdf/download/R/R44893/R44893.pdf/","7","07/19/2017"
3407,"R41983","5/8/2018","How FDA Approves Drugs and Regulates Their Safety and Effectiveness","https://crsreports.congress.gov/product/pdf/download/R/R41983/R41983.pdf/","14","09/06/2011"
