Title,source,source link,link,link date,downloaded on,download success,file name,file path
"Air Force awards contract for new cyberspace test facility, munitions complex at Eglin",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2395804/air-force-awards-contract-for-new-cyberspace-test-facility-munitions-complex-at/,2021-01-29 14:10,2021-01-29 21:24,True,"Air Force awards contract for new cyberspace test facility, munitions complex at Eglin.pdf","documents/parsed_text/AF_afcec/AF_afcec/Air Force awards contract for new cyberspace test facility, munitions complex at Eglin.pdf"
"Multi-wing, multiagency exercise tests Offutt maintainer’s ability to operate",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2396733/multi-wing-multiagency-exercise-tests-offutt-maintainers-ability-to-operate/,2021-01-29 14:10,2021-01-29 21:24,True,"Multi-wing, multiagency exercise tests Offutt maintainer’s ability to operate.pdf","documents/parsed_text/AF_afcec/AF_afcec/Multi-wing, multiagency exercise tests Offutt maintainer’s ability to operate.pdf"
AFCEC awarded patent for new runway repair technology,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2390886/afcec-awarded-patent-for-new-runway-repair-technology/,2021-01-29 14:10,2021-01-29 21:24,True,AFCEC awarded patent for new runway repair technology.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC awarded patent for new runway repair technology.pdf
AFCEC hosts annual Discipline Working Group Workshop,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2390526/afcec-hosts-annual-discipline-working-group-workshop/,2021-01-29 14:10,2021-01-29 21:24,True,AFCEC hosts annual Discipline Working Group Workshop.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC hosts annual Discipline Working Group Workshop.pdf
AFCEC begins rollout of high-tech EOD robots to installations,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2390028/afcec-begins-rollout-of-high-tech-eod-robots-to-installations/,2021-01-29 14:10,2021-01-29 21:25,True,AFCEC begins rollout of high-tech EOD robots to installations.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC begins rollout of high-tech EOD robots to installations.pdf
AFIMSC key to disaster recovery at installations,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2389798/afimsc-key-to-disaster-recovery-at-installations/,2021-01-29 14:10,2021-01-29 21:25,True,AFIMSC key to disaster recovery at installations.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFIMSC key to disaster recovery at installations.pdf
AFCEC leads major airfield modernization at Wake Island Airfield,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2381313/afcec-leads-major-airfield-modernization-at-wake-island-airfield/,2021-01-29 14:10,2021-01-29 21:25,True,AFCEC leads major airfield modernization at Wake Island Airfield.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC leads major airfield modernization at Wake Island Airfield.pdf
AFCEC announces 2020 Air Force Design Awards winners,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2381334/afcec-announces-2020-air-force-design-awards-winners/,2021-01-29 14:10,2021-01-29 21:25,True,AFCEC announces 2020 Air Force Design Awards winners.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC announces 2020 Air Force Design Awards winners.pdf
Community partners with SAFB for storm water management,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2386704/community-partners-with-safb-for-storm-water-management/,2021-01-29 14:10,2021-01-29 21:25,True,Community partners with SAFB for storm water management.pdf,documents/parsed_text/AF_afcec/AF_afcec/Community partners with SAFB for storm water management.pdf
Turning point: Tyndall breaks ground on ABM Simulator Facility,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2380310/turning-point-tyndall-breaks-ground-on-abm-simulator-facility/,2021-01-29 14:10,2021-01-29 21:25,True,Turning point: Tyndall breaks ground on ABM Simulator Facility.pdf,documents/parsed_text/AF_afcec/AF_afcec/Turning point: Tyndall breaks ground on ABM Simulator Facility.pdf
"Tyndall PMO makes smart investments, saves $",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2375684/tyndall-pmo-makes-smart-investments-saves/,2021-01-29 14:10,2021-01-29 21:25,True,"Tyndall PMO makes smart investments, saves $.pdf","documents/parsed_text/AF_afcec/AF_afcec/Tyndall PMO makes smart investments, saves $.pdf"
Modeling the installation of the future,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2374881/modeling-the-installation-of-the-future/,2021-01-29 14:10,2021-01-29 21:25,True,Modeling the installation of the future.pdf,documents/parsed_text/AF_afcec/AF_afcec/Modeling the installation of the future.pdf
"Air Force medical entomology supports wide-reaching mission, seeks candidates",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2374883/air-force-medical-entomology-supports-wide-reaching-mission-seeks-candidates/,2021-01-29 14:10,2021-01-29 21:25,True,"Air Force medical entomology supports wide-reaching mission, seeks candidates.pdf","documents/parsed_text/AF_afcec/AF_afcec/Air Force medical entomology supports wide-reaching mission, seeks candidates.pdf"
‘AFMC We Need’ campaign continues to drive change,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2372818/afmc-we-need-campaign-continues-to-drive-change/,2021-01-29 14:10,2021-01-29 21:25,True,‘AFMC We Need’ campaign continues to drive change.pdf,documents/parsed_text/AF_afcec/AF_afcec/‘AFMC We Need’ campaign continues to drive change.pdf
Tinker completes construction for the Air Force’s largest ESPC project,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2369629/tinker-completes-construction-for-the-air-forces-largest-espc-project/,2021-01-29 14:10,2021-01-29 21:25,True,Tinker completes construction for the Air Force’s largest ESPC project.pdf,documents/parsed_text/AF_afcec/AF_afcec/Tinker completes construction for the Air Force’s largest ESPC project.pdf
