Title,source,source link,link,link date
Bounty Hunter (BH) - Ready Spacecrew Training,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6bhv1_spfcgm2020-01/spfcman13-6bhv1_spfcgm2020-01.pdf,2021-01-29 19:48
Bounty Hunter (BH) - Standardization and Evaluation Criteria,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6bhv2_spfcgm2020-01/spfcman13-6bhv2_spfcgm2020-01.pdf,2021-01-29 19:48
Bounty Hunter (BH) - Spacecrew Operations,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6bhv3_spfcgm2020-01/spfcman13-6bhv3_spfcgm2020-01.pdf,2021-01-29 19:48
Ground Based Radars (GBR) - Ready Spacecrew Training,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6gbrv1_spfcgm2020-01/spfcman13-6gbrv1_spfcgm2020-01.pdf,2021-01-29 19:48
Ground Based Radars (GBR) - Standardization and Evaluation Criteria,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6gbrv2_spfcgm2020-01/spfcman13-6gbrv2_spfcgm2020-01.pdf,2021-01-29 19:48
Ground Based Radars (GBR) - Spacecrew Operations,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6gbrv3_spfcgm2020-01/spfcman13-6gbrv3_spfcgm2020-01.pdf,2021-01-29 19:48
Global Position System (GPS) - Ready Spacecrew Training,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6gpsv1_spfcgm2020-01/spfcman13-6gpsv1_spfcgm2020-01.pdf,2021-01-29 19:48
Global Position System (GPS) - Standardization and Evaluation Criteria,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6gpsv2_spfcgm2020-01/spfcman13-6gpsv2_spfcgm2020-01.pdf,2021-01-29 19:48
Global Position System (GPS) - Spacecrew Operations,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6gpsv3_spfcgm2020-01/spfcman13-6gpsv3_spfcgm2020-01.pdf,2021-01-29 19:48
Military Satellite Communications (MILSATCOM) - Ready Spacecrew Training,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6milsatcomv1_spfcgm2020-01/spfcman13-6milsatcomv1_spfcgm2020-01.pdf,2021-01-29 19:48
Military Satellite Communications (MILSATCOM) - Standardization and Evaluation Criteria,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6milsatcomv2_spfcgm2020-01/spfcman13-6milsatcomv2_spfcgm2020-01.pdf,2021-01-29 19:48
Military Satellite Communications (MILSATCOM) - Spacecrew Operations,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6milsatcomv3_spfcgm2020-01/spfcman13-6milsatcomv3_spfcgm2020-01.pdf,2021-01-29 19:48
Space Based Infrared Systems (SBIRS) - Ready Spacecrew Training,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6sbirsv1_spfcgm2020-01/spfcman13-6sbirsv1_spfcgm2020-01.pdf,2021-01-29 19:48
Space Based Infrared Systems (SBIRS) - Standardization and Evaluation Criteria,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6sbirsv2_spfcgm2020-01/spfcman13-6sbirsv2_spfcgm2020-01.pdf,2021-01-29 19:48
Space Based Infrared Systems (SBIRS) - Spacecrew Operations,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman13-6sbirsv3_spfcgm2020-01/spfcman13-6sbirsv3_spfcgm2020-01.pdf,2021-01-29 19:48
"RANGE SAFETY USER REQUIREMENTS MANUAL VOLUME 6 - GROUND AND LAUNCH PERSONNEL, EQUIPMENT, SYSTEMS, AND MATERIAL OPERATIONS SAFETY REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman91-710v6/spfcman91-710v6.pdf,2021-01-29 19:48
"RANGE SAFETY USER REQUIREMENTSMANUAL VOLUME 7 - GLOSSARY OFREFERENCES, ABBREVIATIONS AND ACRONYMS, AND TERMS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfcman91-710v7/spfcman91-710v7.pdf,2021-01-29 19:48
USSF Operational Camouflage Uniform Wear Guidance,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/spfgm2020-36-01/spfgm2020-36-01.pdf,2021-01-29 19:48
HQ UNITED STATES SPACE FORCE (USSF) GUIDANCE MEMORANDUM FOR SPACE TRAINING PLANNING TEAMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/ussfgm2020-16-01/ussfgm2020-16-01.pdf,2021-01-29 19:48
