Title,source,source link,link,link date,downloaded on,download success,file name,file path
AIR FORCE PERSONNEL CENTER FORCE SUPPORT LIEUTENANT DEVELOPMENT PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-116/afpci36-116.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-116.pdf,../documents/pdfs/AF_epubs/foa/afpci36-116.pdf
Dress and Appearance Standards,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-117/afpci36-117.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-117.pdf,../documents/pdfs/AF_epubs/foa/afpci36-117.pdf
USAF SELECTION BOARD SECRETARIAT RECORDER AUGMENTATION AND ADMINISTRATIVE SUPPORT DUTY,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-118/afpci36-118.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-118.pdf,../documents/pdfs/AF_epubs/foa/afpci36-118.pdf
DOD CIVILIAN PARTICIPATION IN PHYSICAL FITNESS AND WELLNESS ACTIVITIES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-119/afpci36-119.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-119.pdf,../documents/pdfs/AF_epubs/foa/afpci36-119.pdf
AFPC GOVERNANCE PROCESS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci90-202/afpci90-202.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci90-202.pdf,../documents/pdfs/AF_epubs/foa/afpci90-202.pdf
THE INSPECTOR GENERAL (IG) COMPLAINT PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/,2021-01-29 14:39,,False,None,None
REPORT ALL MISHAPS AND HAZARDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpcva91-100/afpcva91-100.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpcva91-100.pdf,../documents/pdfs/AF_epubs/foa/afpcva91-100.pdf
PUBLICATIONS AND FORMS MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpaa/publication/afi33-360_afpaasup/afi33-360_afpaasup.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afi33-360_afpaasup.pdf,../documents/pdfs/AF_epubs/foa/afi33-360_afpaasup.pdf
CYBERSPACE MAINTENANCE MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpaa/publication/afpaai17-101/afpaai17-101.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpaai17-101.pdf,../documents/pdfs/AF_epubs/foa/afpaai17-101.pdf
Telework Program,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpaa/publication/afpaai36-801/afpaai36-801.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpaai36-801.pdf,../documents/pdfs/AF_epubs/foa/afpaai36-801.pdf
AIRCRAFT AND EQUIPMENT MAINTENANCE MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/afi21-101_nasicsup_i/afi21-101_nasicsup_i.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afi21-101_nasicsup_i.pdf,../documents/pdfs/AF_epubs/foa/afi21-101_nasicsup_i.pdf
"INTRA-SERVICE, INTRA-AGENCY, AND INTER-AGENCY SUPPORT AGREEMENT PROCEDURES",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/afi25-201_nasicsup_i/afi25-201_nasicsup.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afi25-201_nasicsup.pdf,../documents/pdfs/AF_epubs/foa/afi25-201_nasicsup.pdf
AIR FORCE TRAINING PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/afi36-2201_nasicsup/afi36-2201_nasicsup.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afi36-2201_nasicsup.pdf,../documents/pdfs/AF_epubs/foa/afi36-2201_nasicsup.pdf
NASIC ANTITERRORISM (AT) PROGRAM STANDARDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasici10-245/nasici10-245.pdf,2021-01-29 14:39,2021-01-29 22:03,True,nasici10-245.pdf,../documents/pdfs/AF_epubs/foa/nasici10-245.pdf
SECURITY OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasici14-103-o/nasici14-103-o.pdf,2021-01-29 14:39,2021-01-29 22:03,True,nasici14-103-o.pdf,../documents/pdfs/AF_epubs/foa/nasici14-103-o.pdf
PORTABLE ELECTRONIC DEVICES (PEDS),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasici31-106-o/nasici31-106-o.pdf,2021-01-29 14:39,2021-01-29 22:03,True,nasici31-106-o.pdf,../documents/pdfs/AF_epubs/foa/nasici31-106-o.pdf
USE OF HUMINT CONTROL SYSTEM AND GAMMA INFORMATION ON NASIC CORNERSTONE TOP SECRET NETWORK,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasici33-106-o/for_official_use_only.pdf,2021-01-29 14:39,2021-01-29 22:03,True,for_official_use_only.pdf,../documents/pdfs/AF_epubs/foa/for_official_use_only.pdf
NASIC MEDIA ACCOUNTABILITY PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasici33-201/nasici33-201.pdf,2021-01-29 14:39,2021-01-29 22:03,True,nasici33-201.pdf,../documents/pdfs/AF_epubs/foa/nasici33-201.pdf
SECURITY MANAGER APPOINTMENTS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasicva31-201/nasicva31-201.pdf,2021-01-29 14:39,2021-01-29 22:03,True,nasicva31-201.pdf,../documents/pdfs/AF_epubs/foa/nasicva31-201.pdf
NASIC IG COMPLAINTS PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/nasic/publication/nasicva90-301/nasicva90-301.pdf,2021-01-29 14:39,2021-01-29 22:03,True,nasicva90-301.pdf,../documents/pdfs/AF_epubs/foa/nasicva90-301.pdf
